manzana_censal_residencia;n;criterio
13110121001013;4;No
13110121004017;4;No
13110121004023;4;No
13110141001007;4;No
13110171001003;4;No
13110171005022;4;No
13110181004011;4;No
13110191003023;4;No
13110211001003;4;No
13111021001035;4;No
13111031001019;4;No
13111071003046;4;No
13111071004056;4;No
13111071005037;4;No
13112031004015;4;No
13112041005008;4;No
13112051006001;4;No
13112051008024;4;No
13112071001001;4;No
13112071004017;4;No
13113021001001;4;No
13113021001011;4;No
13113021001012;4;No
13113031003001;4;No
13113031003004;4;No
13113031004008;4;No
13113041004002;4;No
13113051001006;4;No
13113071003046;4;No
13114011001500;4;No
13114011002009;4;No
13114011002014;4;No
13114031003028;4;No
13114031007006;4;No
13114041001001;4;No
13114041003025;4;No
13114051001001;4;No
13114051003002;4;No
13114061001001;4;No
13114071004007;4;No
13114091001003;4;No
13114091001005;4;No
13114121002003;4;No
13114121003003;4;No
13114121004004;4;No
13114121005021;4;No
13114141001011;4;No
13114141003016;4;No
13114151001006;4;No
13114151001008;4;No
13114151001032;4;No
13114161002007;4;No
13114161003003;4;No
13114161003004;4;No
13115011004020;4;No
13115011005001;4;No
13115011005015;4;No
13115011006008;4;No
13115011008500;4;No
13115011010016;4;No
13115011010500;4;No
13115021003012;4;No
13115021003500;4;No
13115021005017;4;No
13115041001014;4;No
13116011002007;4;No
13116021002028;4;No
13116031002021;4;No
13116041002901;4;No
13116041003006;4;No
13117021005007;4;No
13118011001023;4;No
13118021007003;4;No
13118021007013;4;No
13118021007020;4;No
13118031003006;4;No
13118031006003;4;No
13118051005010;4;No
13119011001027;4;No
13119021004068;4;No
13119021005006;4;No
13119021010024;4;No
13119021010048;4;No
13119061001013;4;No
13119061002015;4;No
13119071002017;4;No
13119071003033;4;No
13119071008015;4;No
13119071011004;4;No
13119081004014;4;No
13119101001039;4;No
13119141004034;4;No
13119141005009;4;No
13119141007008;4;No
13119161002025;4;No
13119171002015;4;No
13119181004018;4;No
13119191009007;4;No
13119191009011;4;No
13119191009017;4;No
13119201003001;4;No
13119201008058;4;No
13119211005021;4;No
13119221003034;4;No
13119231006002;4;No
13120011004004;4;No
13120011004901;4;No
13120011007007;4;No
13120011007009;4;No
13120041005044;4;No
13120051001005;4;No
13120071001002;4;No
13120071003005;4;No
13120071007002;4;No
13120091001002;4;No
13120091002002;4;No
13120101007007;4;No
13120101008006;4;No
13120111001015;4;No
13120111004008;4;No
13121011003008;4;No
13121051002015;4;No
13121071001007;4;No
13121071003026;4;No
13121071004040;4;No
13121081001040;4;No
13122031002018;4;No
13122031004001;4;No
13122031006049;4;No
13122031008003;4;No
13122031011006;4;No
13122041002010;4;No
13122051001011;4;No
13122051001019;4;No
13122051001020;4;No
13122051005015;4;No
13122101001001;4;No
13122111001019;4;No
13122111001023;4;No
13123011007006;4;No
13123031002007;4;No
13123031003006;4;No
13123031008002;4;No
13123041007001;4;No
13124031004001;4;No
13124051002001;4;No
13124061006013;4;No
13124091002010;4;No
13124091003001;4;No
13124101001012;4;No
13124101001016;4;No
13125021001001;4;No
13125021005002;4;No
13125021005008;4;No
13125021010022;4;No
13125021011002;4;No
13125021011004;4;No
13125021012025;4;No
13125021014030;4;No
13125021016007;4;No
13125041001500;4;No
13125041005031;4;No
13125041007017;4;No
13125041010021;4;No
13125041011037;4;No
13126051001013;4;No
13126081002009;4;No
13127041001018;4;No
13127061001003;4;No
13127061004021;4;No
13127071001003;4;No
13127131001007;4;No
13128071001003;4;No
13128071001013;4;No
13128071007007;4;No
13128081002001;4;No
13130021002015;4;No
13130031003015;4;No
13130051004001;4;No
13130071003002;4;No
13130071004001;4;No
13131031002010;4;No
13131061002006;4;No
13131071002001;4;No
13132031001503;4;No
13132041001024;4;No
13132041001035;4;No
13132041004006;4;No
13132041004007;4;No
13132041006016;4;No
13201041002001;4;No
13201051007003;4;No
13201051010003;4;No
13201071007001;4;No
13201081002021;4;No
13201081005001;4;No
13201081005002;4;No
13201081005017;4;No
13201081007003;4;No
13201091001009;4;No
13201091003001;4;No
13201101004016;4;No
13201101004029;4;No
13201101005005;4;No
13201101006004;4;No
13201101006033;4;No
13201111001025;4;No
13201111002014;4;No
13201141004036;4;No
13201141007015;4;No
13201151003001;4;No
13201161007002;4;No
13201161008001;4;No
13201161008010;4;No
13201161009016;4;No
13201171001001;4;No
13201171002018;4;No
13201171007010;4;No
13201181009015;4;No
13201191001004;4;No
13201191001008;4;No
13201191001037;4;No
13201191002007;4;No
13201191006037;4;No
13201191006043;4;No
13201191009031;4;No
13201191010023;4;No
13202012001002;4;No
13301032001901;4;No
13401011002006;4;No
13401061004010;4;No
13401061009500;4;No
13401071002007;4;No
13401081004032;4;No
13401091002001;4;No
13401101002040;4;No
13401111001500;4;No
13401141004507;4;No
13401141005009;4;No
13402011005011;4;No
13402011005030;4;No
13402011007032;4;No
13402031002004;4;No
13402031002029;4;No
13402041001053;4;No
13404011002003;4;No
13404061002036;4;No
13404061003509;4;No
13501011003024;4;No
13501011004007;4;No
13501011006008;4;No
13501021006020;4;No
13501141002006;4;No
13503012007018;4;No
13601011001006;4;No
13601011003009;4;No
13601041003010;4;No
13602011001010;4;No
13603011001023;4;No
13604031002002;4;No
13604041006006;4;No
13605031004500;4;No
13101031004002;3;No
13101051002008;3;No
13101061001700;3;No
13101061002003;3;No
13101061002007;3;No
13101071002008;3;No
13101071003002;3;No
13101071003003;3;No
13101071003006;3;No
13101081002006;3;No
13101081002022;3;No
13101081004003;3;No
13101081004004;3;No
13101101003001;3;No
13101111006003;3;No
13101111015002;3;No
13101111018001;3;No
13101131003001;3;No
13101131005012;3;No
13101161002022;3;No
13101171002018;3;No
13101191001022;3;No
13101191001026;3;No
13101191002007;3;No
13101191002013;3;No
13101231001017;3;No
13101271003002;3;No
13101271004006;3;No
13101281002001;3;No
13101281002007;3;No
13102011001002;3;No
13102041006004;3;No
13103011003012;3;No
13103011005029;3;No
13103021002020;3;No
13103031001014;3;No
13103051002025;3;No
13103051002030;3;No
13103061003025;3;No
13103091001019;3;No
13103091003017;3;No
13103091003021;3;No
13103091003052;3;No
13104021001007;3;No
13104031002022;3;No
13104031002024;3;No
13104041003031;3;No
13104051002901;3;No
13104051005041;3;No
13104051006018;3;No
13104081002018;3;No
13105011001012;3;No
13105011002005;3;No
13105011004032;3;No
13105011004034;3;No
13105021001018;3;No
13105021002005;3;No
13105021002021;3;No
13105031001017;3;No
13105041001017;3;No
13105051001016;3;No
13105051001901;3;No
13105051005001;3;No
13105061003043;3;No
13105061004013;3;No
13105071002010;3;No
13105071003010;3;No
13105071003026;3;No
13105081002005;3;No
13105081002032;3;No
13105091003024;3;No
13105101001005;3;No
13105101002014;3;No
13106021002901;3;No
13106041002029;3;No
13106061002020;3;No
13106061002044;3;No
13106071002033;3;No
13106081003016;3;No
13106081005001;3;No
13106081005029;3;No
13106081005033;3;No
13106101001023;3;No
13106101004018;3;No
13106121001500;3;No
13107011002003;3;No
13107011004024;3;No
13107011004028;3;No
13107011006016;3;No
13107041002001;3;No
13107051001500;3;No
13108011002012;3;No
13108021004012;3;No
13108031002003;3;No
13108031002007;3;No
13108031004006;3;No
13108041001001;3;No
13108041001004;3;No
13108051003008;3;No
13108051003010;3;No
13108061002004;3;No
13108061002007;3;No
13109011004500;3;No
13109031001017;3;No
13109031001018;3;No
13109031003008;3;No
13109041001036;3;No
13109051001002;3;No
13109051001011;3;No
13110011003015;3;No
13110011004007;3;No
13110021004004;3;No
13110031001011;3;No
13110031002023;3;No
13110031003001;3;No
13110031006009;3;No
13110041001012;3;No
13110041002008;3;No
13110041002011;3;No
13110041002012;3;No
13110051002901;3;No
13110051004022;3;No
13110061006044;3;No
13110061006045;3;No
13110061008004;3;No
13110061008018;3;No
13110071001033;3;No
13110071004010;3;No
13110071004021;3;No
13110081002039;3;No
13110081003014;3;No
13110081003020;3;No
13110091001040;3;No
13110091005023;3;No
13110091005030;3;No
13110101002026;3;No
13110101003016;3;No
13110101003037;3;No
13110111002024;3;No
13110111003001;3;No
13110111004009;3;No
13110111004021;3;No
13110111005006;3;No
13110111007017;3;No
13110111007020;3;No
13110111007028;3;No
13110121002012;3;No
13110121003500;3;No
13110121004025;3;No
13110131002038;3;No
13110131003016;3;No
13110141001001;3;No
13110141002001;3;No
13110141005001;3;No
13110151002024;3;No
13110151003008;3;No
13110151003011;3;No
13110151005001;3;No
13110151005002;3;No
13110161001004;3;No
13110161002004;3;No
13110161002010;3;No
13110161002013;3;No
13110161004026;3;No
13110161006012;3;No
13110171002018;3;No
13110171003003;3;No
13110171003032;3;No
13110171004004;3;No
13110171004018;3;No
13110171005020;3;No
13110171006021;3;No
13110181001026;3;No
13110181003002;3;No
13110191001032;3;No
13110191003013;3;No
13110211003021;3;No
13110211004009;3;No
13111011001003;3;No
13111011001006;3;No
13111011002003;3;No
13111021004020;3;No
13111031001009;3;No
13111031001010;3;No
13111041001019;3;No
13111051001032;3;No
13111051004012;3;No
13111061001003;3;No
13111061001008;3;No
13111061001025;3;No
13111071001024;3;No
13111071002015;3;No
13111071002021;3;No
13111071004027;3;No
13111071004055;3;No
13111071005026;3;No
13112011002030;3;No
13112021001055;3;No
13112021001901;3;No
13112031003043;3;No
13112041002028;3;No
13112041002500;3;No
13112041007007;3;No
13112051006008;3;No
13112051008003;3;No
13112051010028;3;No
13112051011001;3;No
13112051011011;3;No
13112051011023;3;No
13112071001002;3;No
13112071001013;3;No
13112071004014;3;No
13112081002016;3;No
13112081002021;3;No
13112081004001;3;No
13113011003002;3;No
13113011003500;3;No
13113021002010;3;No
13113031001014;3;No
13113031001016;3;No
13113031001901;3;No
13113031002011;3;No
13113031003010;3;No
13113041002008;3;No
13113041003003;3;No
13113041003007;3;No
13113051001004;3;No
13113051001016;3;No
13113051004022;3;No
13113051004029;3;No
13113061001014;3;No
13113071001037;3;No
13113071002018;3;No
13114011002001;3;No
13114011008001;3;No
13114011009005;3;No
13114011009010;3;No
13114011009013;3;No
13114021001017;3;No
13114031003014;3;No
13114031004006;3;No
13114031005002;3;No
13114031005004;3;No
13114031006001;3;No
13114041001004;3;No
13114041001030;3;No
13114041002015;3;No
13114051001018;3;No
13114051004003;3;No
13114061001015;3;No
13114071001018;3;No
13114071001023;3;No
13114071002007;3;No
13114071002025;3;No
13114071003002;3;No
13114071003008;3;No
13114081001008;3;No
13114081001013;3;No
13114081002034;3;No
13114091001001;3;No
13114101004018;3;No
13114101004025;3;No
13114101005001;3;No
13114101005017;3;No
13114101005020;3;No
13114111002901;3;No
13114121002901;3;No
13114121003005;3;No
13114121004001;3;No
13114121005005;3;No
13114121006002;3;No
13114131001008;3;No
13114131010003;3;No
13114141002018;3;No
13114141003001;3;No
13114141003015;3;No
13114141004009;3;No
13114151001005;3;No
13114151001009;3;No
13114151001018;3;No
13114151001026;3;No
13114151003001;3;No
13114151003013;3;No
13114151003033;3;No
13114161002010;3;No
13114161003018;3;No
13114161004012;3;No
13114161004015;3;No
13115011001011;3;No
13115011001026;3;No
13115011002004;3;No
13115011008001;3;No
13115011008017;3;No
13115011008029;3;No
13115011008036;3;No
13115011008503;3;No
13115011009001;3;No
13115011009004;3;No
13115011010008;3;No
13115011010011;3;No
13115011010020;3;No
13115011012018;3;No
13115011012019;3;No
13115011012021;3;No
13115021002004;3;No
13115021002019;3;No
13115021003501;3;No
13115021005020;3;No
13115041001018;3;No
13115041002019;3;No
13115041003020;3;No
13115041005002;3;No
13115041005026;3;No
13116021002008;3;No
13116031001010;3;No
13116031001014;3;No
13116031001017;3;No
13116031002018;3;No
13116041001016;3;No
13116041003021;3;No
13116051001016;3;No
13116051001017;3;No
13116071001011;3;No
13116071003007;3;No
13116071004019;3;No
13117021003001;3;No
13117021003002;3;No
13117021005901;3;No
13117031004019;3;No
13117051001001;3;No
13117051002003;3;No
13117071003007;3;No
13117071004001;3;No
13118011003003;3;No
13118011004015;3;No
13118021004030;3;No
13118021004033;3;No
13118021007016;3;No
13118031005037;3;No
13118041003015;3;No
13118061004007;3;No
13118061006014;3;No
13119011001003;3;No
13119011005001;3;No
13119021001013;3;No
13119021001046;3;No
13119021003002;3;No
13119021003015;3;No
13119021005010;3;No
13119021005016;3;No
13119021005029;3;No
13119021008002;3;No
13119021008010;3;No
13119021010046;3;No
13119031001022;3;No
13119031003004;3;No
13119051005037;3;No
13119051007025;3;No
13119051007049;3;No
13119061002041;3;No
13119071001030;3;No
13119071002006;3;No
13119071002023;3;No
13119071003029;3;No
13119071004020;3;No
13119071004026;3;No
13119071004029;3;No
13119071009002;3;No
13119071009023;3;No
13119071012004;3;No
13119071012012;3;No
13119081004021;3;No
13119091002034;3;No
13119101001041;3;No
13119101002001;3;No
13119101002019;3;No
13119121003001;3;No
13119141002012;3;No
13119141003001;3;No
13119141003011;3;No
13119141003014;3;No
13119141004021;3;No
13119141007011;3;No
13119141009028;3;No
13119141010018;3;No
13119141010020;3;No
13119161002001;3;No
13119161002018;3;No
13119161002034;3;No
13119161003021;3;No
13119171001023;3;No
13119171005023;3;No
13119171005036;3;No
13119181001010;3;No
13119181002014;3;No
13119181003004;3;No
13119181006010;3;No
13119181006020;3;No
13119181006021;3;No
13119181006023;3;No
13119191002029;3;No
13119191002039;3;No
13119191004002;3;No
13119191004015;3;No
13119191006005;3;No
13119191006011;3;No
13119191006035;3;No
13119191008016;3;No
13119201002015;3;No
13119201005002;3;No
13119201005003;3;No
13119201005010;3;No
13119201007007;3;No
13119201008037;3;No
13119201008055;3;No
13119201009003;3;No
13119201009023;3;No
13119201009039;3;No
13119211001030;3;No
13119211002001;3;No
13119211003001;3;No
13119211003035;3;No
13119211003048;3;No
13119211005026;3;No
13119221001001;3;No
13119221001901;3;No
13119221004014;3;No
13119231001029;3;No
13119231006013;3;No
13119231008019;3;No
13119231008031;3;No
13120011003001;3;No
13120011004003;3;No
13120011009002;3;No
13120021001008;3;No
13120021003020;3;No
13120021003031;3;No
13120031002004;3;No
13120041002004;3;No
13120051002002;3;No
13120051004001;3;No
13120051004004;3;No
13120061005001;3;No
13120071001005;3;No
13120071002001;3;No
13120071006028;3;No
13120091002006;3;No
13120091003001;3;No
13120091003006;3;No
13120101002004;3;No
13120101003007;3;No
13120101005004;3;No
13120101007015;3;No
13120101008007;3;No
13120111004006;3;No
13121011001016;3;No
13121011002005;3;No
13121011002014;3;No
13121011003013;3;No
13121021002054;3;No
13121031001001;3;No
13121031001006;3;No
13121041002005;3;No
13121041004002;3;No
13121041004024;3;No
13121051003016;3;No
13121051004016;3;No
13121051004017;3;No
13121071001004;3;No
13121071001901;3;No
13121071003009;3;No
13122021001020;3;No
13122031001005;3;No
13122031001006;3;No
13122031001007;3;No
13122031003001;3;No
13122031005002;3;No
13122031005016;3;No
13122031005039;3;No
13122031006002;3;No
13122031006006;3;No
13122031006050;3;No
13122031006051;3;No
13122031007008;3;No
13122031007009;3;No
13122031009024;3;No
13122041004008;3;No
13122041004026;3;No
13122051001023;3;No
13122051004008;3;No
13122051005006;3;No
13122051005500;3;No
13122061001053;3;No
13122061004023;3;No
13122071003002;3;No
13122071004015;3;No
13122081002006;3;No
13122081003035;3;No
13122091001010;3;No
13122091002022;3;No
13122091003011;3;No
13122091003019;3;No
13122091004003;3;No
13122101001004;3;No
13122101002010;3;No
13122101003010;3;No
13122101004021;3;No
13122111002500;3;No
13122111003011;3;No
13122111004014;3;No
13122111004051;3;No
13122111004057;3;No
13122111005037;3;No
13123021002011;3;No
13123021005005;3;No
13123021007001;3;No
13123021007012;3;No
13123031003004;3;No
13123041002007;3;No
13123041005002;3;No
13123041009007;3;No
13123041011003;3;No
13123041011004;3;No
13123041011006;3;No
13123051001006;3;No
13123061003004;3;No
13124011001017;3;No
13124021001011;3;No
13124021001017;3;No
13124021004031;3;No
13124031001012;3;No
13124031004010;3;No
13124041002007;3;No
13124051003014;3;No
13124051004020;3;No
13124061001008;3;No
13124061001020;3;No
13124061002001;3;No
13124061002020;3;No
13124061003004;3;No
13124061003015;3;No
13124061005014;3;No
13124061006015;3;No
13124061007004;3;No
13124061007014;3;No
13124061008031;3;No
13124061009005;3;No
13124061011002;3;No
13124061011026;3;No
13124061014004;3;No
13124061015030;3;No
13124061019023;3;No
13124061020027;3;No
13124061021016;3;No
13124061023009;3;No
13124061024011;3;No
13124091001028;3;No
13124091003018;3;No
13124091005013;3;No
13124091005019;3;No
13124101001015;3;No
13124101003017;3;No
13125011003012;3;No
13125011005053;3;No
13125011008010;3;No
13125021002005;3;No
13125021002006;3;No
13125021006004;3;No
13125021007021;3;No
13125021011003;3;No
13125021011006;3;No
13125021013013;3;No
13125021013023;3;No
13125021013033;3;No
13125021015009;3;No
13125021016026;3;No
13125021017001;3;No
13125021017006;3;No
13125021017008;3;No
13125021018012;3;No
13125021019001;3;No
13125021019004;3;No
13125021020019;3;No
13125041007062;3;No
13125041008008;3;No
13125041010036;3;No
13125041011041;3;No
13125041012007;3;No
13125041012032;3;No
13125041013015;3;No
13126011001029;3;No
13126011002020;3;No
13126021004011;3;No
13126021005020;3;No
13126041001016;3;No
13126051001021;3;No
13126051002046;3;No
13126061001022;3;No
13126061002021;3;No
13126061003001;3;No
13126071001025;3;No
13126081001012;3;No
13126081001016;3;No
13126091001025;3;No
13126091003009;3;No
13127021002010;3;No
13127041001019;3;No
13127041002016;3;No
13127041002017;3;No
13127051001021;3;No
13127051001037;3;No
13127061003501;3;No
13127131001010;3;No
13127131001020;3;No
13128011001018;3;No
13128011003022;3;No
13128041002007;3;No
13128061002043;3;No
13128061003010;3;No
13128061003018;3;No
13128081002030;3;No
13128081004024;3;No
13128091004003;3;No
13128101002011;3;No
13128101003017;3;No
13129011003005;3;No
13129021002009;3;No
13129021002012;3;No
13129031003045;3;No
13129041003014;3;No
13129051003003;3;No
13129071001003;3;No
13130021001002;3;No
13130021002010;3;No
13130031001008;3;No
13130051002013;3;No
13130051002015;3;No
13130061002035;3;No
13130071002021;3;No
13130071002036;3;No
13131011002001;3;No
13131041003078;3;No
13131051001015;3;No
13131051002035;3;No
13131051004018;3;No
13131061001002;3;No
13131071001017;3;No
13132011002015;3;No
13132011006002;3;No
13132021006006;3;No
13132031001003;3;No
13132041001027;3;No
13132041003002;3;No
13132041005028;3;No
13132041007006;3;No
13132041008018;3;No
13132051002034;3;No
13201011002020;3;No
13201021001019;3;No
13201021008015;3;No
13201021008026;3;No
13201031001007;3;No
13201031009001;3;No
13201041003067;3;No
13201041004004;3;No
13201041004009;3;No
13201041005010;3;No
13201041005039;3;No
13201041007020;3;No
13201051001020;3;No
13201051003008;3;No
13201051005025;3;No
13201051007018;3;No
13201051008005;3;No
13201051010002;3;No
13201061006021;3;No
13201061006030;3;No
13201061007025;3;No
13201071001001;3;No
13201071001010;3;No
13201071002024;3;No
13201071005019;3;No
13201071006036;3;No
13201071006037;3;No
13201071007005;3;No
13201071007012;3;No
13201081002015;3;No
13201081003023;3;No
13201081003030;3;No
13201081005019;3;No
13201081006001;3;No
13201091001037;3;No
13201091003004;3;No
13201091003005;3;No
13201091003034;3;No
